timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1529350601186,2439,HotelTap_S01_TaskCreation_T01_Home,200,"Number of samples in transaction : 1, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,2221,335,1,1,0,96,0
1529350611194,1353,HotelTap_S01_TaskCreation_T01_Home,200,"Number of samples in transaction : 1, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,2221,335,2,2,0,2,0
1529350603723,14683,HotelTap_S01_TaskCreation_T02_Login,200,"Number of samples in transaction : 18, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,26742,10513,2,2,0,1030,0
1529350612549,12203,HotelTap_S01_TaskCreation_T02_Login,200,"Number of samples in transaction : 18, number of failing samples : 0",HotelTap_S01_TaskCreation 1-2,,true,,26692,10513,2,2,0,1019,0
1529350619436,6002,HotelTap_S01_TaskCreation_T03_Fill Details_Click Post,200,"Number of samples in transaction : 7, number of failing samples : 0",HotelTap_S01_TaskCreation 1-1,,true,,7351,4517,2,2,0,1006,0
1529350625771,4970,HotelTap_S01_TaskCreation_T03_Fill Details_Click Post,200,,HotelTap_S01_TaskCreation 1-2,,true,,3614,3313,2,2,0,0,0
1529350626444,4729,HotelTap_S01_TaskCreation_T04_Logout,200,,HotelTap_S01_TaskCreation 1-1,,true,,5474,2893,1,1,0,0,0

https://www.coursera.org/learn/machine-learning/lecture/dpF1j/matrix-matrix-multiplication
